16:22:13.870 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:23:36.705 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 1304 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:23:36.715 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:23:40.914 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:23:40.936 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
16:23:40.937 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:23:40.937 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:23:41.390 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:23:41.391 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4397 ms
16:23:42.734 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:23:43.410 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:23:52.290 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
16:23:52.295 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:23:52.351 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:23:52.356 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 17.711 seconds (JVM running for 22.682)
16:25:02.225 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:25:02.594 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:25:02.733 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
