16:34:13.415 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:34:13.420 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:34:23.418 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:34:13 CST 2020, failCount=3, syncMsg=中央数据库端发生异常, infoNode=null)
16:34:24.422 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:34:24.428 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:34:34.424 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:34:24 CST 2020, failCount=4, syncMsg=中央数据库端发生异常, infoNode=null)
16:34:35.432 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:34:35.437 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:37:55.474 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:34:35 CST 2020, failCount=0, syncMsg=中央数据库端发生异常, infoNode=null)
16:37:55.556 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:37:57.561 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:38:05.559 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:38:06.565 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:38:16.568 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:38:17.574 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:38:27.576 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:38:28.581 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:38:38.583 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:38:39.598 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:38:49.619 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:38:50.603 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:00.605 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:01.603 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:11.605 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:37:56 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:12.614 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:13.617 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:39:22.617 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:23.620 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:33.623 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:34.627 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:44.631 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:45.633 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:39:55.636 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:39:56.640 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:40:06.643 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:40:07.646 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:40:17.648 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:40:18.654 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:40:28.659 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:40:29.661 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:40:39.664 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:40:40.668 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:40:50.671 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:40:51.674 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:41:01.677 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:41:02.680 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:41:12.682 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:41:13.687 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:41:23.689 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:39:12 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
